Max_achat;Date;CODE;  desc;Nom du demandeur;Resposable;Type;Description;fournisseur;Quantité; P.U ;Montant;service;Agence;observation;FA N°;Colonne1
45622EV002;26/11/2024;EV002;Entretien véhicule 10000km;SUZY;NONLA;Entretien véhicule ;0;CT  MOTORS;1;774 004,80;774 004,80;DAMG;Siège;Entretien  10000 km voiture 24092wwt;fv+sie0324-007980;
45627Prod0014;01/12/2024;Prod0014;Jirama eau et éléctricité;SUZY;NONLA;Prestation;0;SIRR;1;154 143,86;154 143,86;DAMG;GAB BUT;électricité GAB BUT OCT 24 refacturation;FA2401486;
45627Prod0055;01/12/2024;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;30 406 622,40;30 406 622,40;DSI;Siège;Back-up internet siège dec24;CX/FM/24/1894;
45627Prod0055;01/12/2024;Prod0055; Connexion internet;SUZY;NONLA;internet;0;TELMA;1;134 500,00;134 500,00;DAMG;Siège;Internet Nicolas Roca;F2412406113;
45627Prod0014;01/12/2024;Prod0014;Jirama eau et éléctricité;;;Prestation;0;;;; -   ;;;;;
45629Prod0017;03/12/2024;Prod0017;Loyer immeuble Gateway ;SUZY;NONLA;Prestation;0;TCM (FILATEX);1;91 152 522,66;91 152 522,66;DAMG;Siège;Loyer siège DEC24;FL240634;
45629Pmat0034;03/12/2024;Pmat0034;Accessoire GFA;SUZY;NONLA;Petits matériels;0;UMATEC (COSMOS);1;2 988 000,00;2 988 000,00;DAMG;Agence Colbert;Achat de téléviseur avec support pour la visualisation GFA;psi25-0027189;
45636Prod0057;10/12/2024;Prod0057;Renouvellement Visa;NONLA;NONLA;Prestation ;0;MBAC;1;3 845 400,00;3 845 400,00;DAMG;Siège;Facilitation renouvellement VISA et carte résident Nonla KONE;20241202-23AFG;
45643Prod0021;17/12/2024;Prod0021;Location véhicule;NONLA;NONLA;Transport;0;MBAC;1;7 500 000,00;7 500 000,00;DAMG;Siège;Location de voiture MG ;20241217-20 AFG;
45643prod0106;17/12/2024;prod0106;prestation(organisation et gestion);SUZY;NONLA;prestation;0;SANLAM;1;1 539 236,10;1 539 236,10;DAMG;Siège;Integration collabo;8110000029-2024-30020010107;
